volume_id,site_id,title,century,production_year_est,support_material,ink_type,binding_type,cover_type,language,format,restoration_recent,observed_condition_score,digitised,source_catalogue,licence,site_name,site_type,country,city,latitude,longitude,climate_zone,collection_size_volumes,avg_temperature_c,avg_relative_humidity_pct,avg_light_lux,air_quality_index,flood_event,hvac_failure_event,monitoring_months,environmental_stress,material_stress,age_stress,event_stress,conservation_risk_index,risk_level,high_risk
V0034,S01,Manuscript or printed volume 0034,17,1658,parchment,carbon,vellum,wood,English,scroll,False,3,False,BNF,CC BY-SA 4.0 (metadata simulation),"Biblioteca Joanina, University of Coimbra",library,Portugal,Coimbra,40.2075,-8.4266,Mediterranean,250000,20.853333333333335,54.375,43.129999999999995,56,False,False,6,0.006,0.825,0.46875,0.0,36.68,Moderate,0
V0035,S05,Manuscript or printed volume 0035,19,1891,laid_paper,iron_gall,wood_boards,wood,Italian,octavo,False,3,True,BNF,CC BY-SA 4.0 (metadata simulation),Bibliothèque nationale de France,library,France,Paris,48.8336,2.3758,Oceanic,40000000,19.258333333333336,48.5,36.98333333333333,49,False,False,6,0.0,0.8125,0.21875,0.0,29.84,Low,0
V0036,S06,Manuscript or printed volume 0036,14,1388,parchment,iron_gall,wood_boards,paper,French,octavo,False,4,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.9375,0.84375,0.25,51.72,Moderate,0
V0037,S04,Manuscript or printed volume 0037,19,1883,industrial_paper,printing_ink,vellum,none,French,folio,False,3,False,British Library,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.525,0.21875,0.0,21.22,Low,0
V0038,S02,Manuscript or printed volume 0038,16,1563,laid_paper,iron_gall,leather,none,French,quarto,False,1,True,ICCU,CC BY-SA 4.0 (metadata simulation),Universitätsbibliothek Heidelberg,library,Germany,Heidelberg,49.4093,8.6944,Oceanic,180000,20.07166666666667,50.95666666666667,33.245000000000005,46,False,True,6,0.0,0.7749999999999999,0.59375,0.25,40.59,Moderate,0
V0039,S08,Manuscript or printed volume 0039,18,1704,laid_paper,pigment,paper_boards,leather,German,scroll,False,3,False,Europeana,CC BY-SA 4.0 (metadata simulation),Biblioteca Medicea Laurenziana,library,Italy,Florence,43.7743,11.253,Mediterranean,110000,21.28,56.05666666666667,38.29333333333334,42,False,True,6,0.02817777777777792,0.6625000000000001,0.34375,0.25,31.95,Low,0
V0040,S01,Manuscript or printed volume 0040,19,1864,parchment,carbon,leather,leather,Greek,quarto,False,3,True,BNF,CC BY-SA 4.0 (metadata simulation),"Biblioteca Joanina, University of Coimbra",library,Portugal,Coimbra,40.2075,-8.4266,Mediterranean,250000,20.853333333333335,54.375,43.129999999999995,56,False,False,6,0.006,0.8,0.21875,0.0,29.68,Low,0
V0041,S01,Manuscript or printed volume 0041,12,1166,laid_paper,pigment,wood_boards,none,Greek,scroll,False,2,False,British Library,CC BY-SA 4.0 (metadata simulation),"Biblioteca Joanina, University of Coimbra",library,Portugal,Coimbra,40.2075,-8.4266,Mediterranean,250000,20.853333333333335,54.375,43.129999999999995,56,False,False,6,0.006,0.7375,1.0,0.0,47.34,Moderate,0
V0042,S07,Manuscript or printed volume 0042,12,1169,parchment,iron_gall,leather,leather,Greek,quarto,False,3,False,Europeana,CC BY-SA 4.0 (metadata simulation),Marmottan Repository (simulated cold store),repository,France,Paris,48.8606,2.2664,Oceanic,45000,19.541666666666668,48.78333333333333,34.36833333333333,45,False,True,6,0.0,0.8999999999999999,1.0,0.25,54.5,Moderate,0
V0043,S02,Manuscript or printed volume 0043,14,1300,laid_paper,pigment,vellum,leather,Italian,scroll,True,2,False,ICCU,CC BY-SA 4.0 (metadata simulation),Universitätsbibliothek Heidelberg,library,Germany,Heidelberg,49.4093,8.6944,Oceanic,180000,20.07166666666667,50.95666666666667,33.245000000000005,46,False,True,6,0.0,0.7250000000000001,0.84375,0.4,46.84,Moderate,0
V0044,S01,Manuscript or printed volume 0044,14,1317,mixed,carbon,vellum,paper,Latin,folio,False,3,True,British Library,CC BY-SA 4.0 (metadata simulation),"Biblioteca Joanina, University of Coimbra",library,Portugal,Coimbra,40.2075,-8.4266,Mediterranean,250000,20.853333333333335,54.375,43.129999999999995,56,False,False,6,0.006,0.75,0.84375,0.0,43.8,Moderate,0
V0045,S05,Manuscript or printed volume 0045,17,1690,laid_paper,pigment,wood_boards,paper,Latin,folio,False,3,True,British Library,CC BY-SA 4.0 (metadata simulation),Bibliothèque nationale de France,library,France,Paris,48.8336,2.3758,Oceanic,40000000,19.258333333333336,48.5,36.98333333333333,49,False,False,6,0.0,0.7375,0.46875,0.0,33.84,Low,0
V0046,S03,Manuscript or printed volume 0046,15,1427,laid_paper,printing_ink,leather,none,German,octavo,False,1,True,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.6499999999999999,0.71875,0.0,41.05,Moderate,0
V0047,S03,Manuscript or printed volume 0047,16,1558,laid_paper,carbon,vellum,wood,German,quarto,False,2,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.7,0.59375,0.0,39.42,Moderate,0
V0048,S04,Manuscript or printed volume 0048,17,1654,laid_paper,carbon,paper_boards,none,German,octavo,False,3,False,ICCU,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.6375,0.46875,0.0,30.84,Low,0
V0049,S03,Manuscript or printed volume 0049,18,1707,industrial_paper,iron_gall,wood_boards,vellum,German,quarto,False,3,True,BNF,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.6625,0.34375,0.0,32.05,Low,0
V0050,S06,Manuscript or printed volume 0050,12,1131,industrial_paper,pigment,leather,wood,Latin,octavo,False,2,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.55,1.0,0.25,44.0,Moderate,0
V0051,S08,Manuscript or printed volume 0051,18,1733,industrial_paper,printing_ink,paper_boards,leather,English,folio,False,2,False,ICCU,CC BY-SA 4.0 (metadata simulation),Biblioteca Medicea Laurenziana,library,Italy,Florence,43.7743,11.253,Mediterranean,110000,21.28,56.05666666666667,38.29333333333334,42,False,True,6,0.02817777777777792,0.4625,0.34375,0.25,25.95,Low,0
V0052,S02,Manuscript or printed volume 0052,18,1716,mixed,printing_ink,paper_boards,paper,French,scroll,False,2,True,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Universitätsbibliothek Heidelberg,library,Germany,Heidelberg,49.4093,8.6944,Oceanic,180000,20.07166666666667,50.95666666666667,33.245000000000005,46,False,True,6,0.0,0.6625000000000001,0.34375,0.25,30.97,Low,0
V0053,S06,Manuscript or printed volume 0053,15,1462,laid_paper,iron_gall,wood_boards,vellum,Italian,quarto,False,3,False,British Library,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.8125,0.71875,0.25,44.84,Moderate,0
V0054,S04,Manuscript or printed volume 0054,13,1258,parchment,pigment,vellum,wood,English,octavo,False,2,False,Europeana,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.8500000000000001,0.96875,0.0,49.72,Moderate,0
V0055,S04,Manuscript or printed volume 0055,15,1442,mixed,carbon,paper_boards,none,Italian,octavo,False,2,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.6875,0.71875,0.0,38.59,Moderate,0
V0056,S04,Manuscript or printed volume 0056,16,1533,parchment,iron_gall,none,leather,French,quarto,False,2,True,Europeana,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.825,0.59375,0.0,39.59,Moderate,0
V0057,S08,Manuscript or printed volume 0057,16,1552,laid_paper,carbon,wood_boards,wood,English,scroll,False,2,False,British Library,CC BY-SA 4.0 (metadata simulation),Biblioteca Medicea Laurenziana,library,Italy,Florence,43.7743,11.253,Mediterranean,110000,21.28,56.05666666666667,38.29333333333334,42,False,True,6,0.02817777777777792,0.7125,0.59375,0.25,39.7,Moderate,0
V0058,S06,Manuscript or printed volume 0058,19,1847,industrial_paper,pigment,paper_boards,paper,English,scroll,False,3,False,ICCU,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.5125,0.21875,0.25,23.34,Low,0
V0059,S05,Manuscript or printed volume 0059,19,1800,mixed,printing_ink,paper_boards,leather,Italian,folio,False,2,False,British Library,CC BY-SA 4.0 (metadata simulation),Bibliothèque nationale de France,library,France,Paris,48.8336,2.3758,Oceanic,40000000,19.258333333333336,48.5,36.98333333333333,49,False,False,6,0.0,0.6625000000000001,0.21875,0.0,25.34,Low,0
V0060,S08,Manuscript or printed volume 0060,16,1548,mixed,carbon,paper_boards,paper,English,quarto,True,3,False,British Library,CC BY-SA 4.0 (metadata simulation),Biblioteca Medicea Laurenziana,library,Italy,Florence,43.7743,11.253,Mediterranean,110000,21.28,56.05666666666667,38.29333333333334,42,False,True,6,0.02817777777777792,0.6875,0.59375,0.4,40.45,Moderate,0
V0061,S01,Manuscript or printed volume 0061,15,1400,parchment,iron_gall,vellum,none,English,octavo,False,3,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),"Biblioteca Joanina, University of Coimbra",library,Portugal,Coimbra,40.2075,-8.4266,Mediterranean,250000,20.853333333333335,54.375,43.129999999999995,56,False,False,6,0.006,0.925,0.71875,0.0,45.93,Moderate,0
V0062,S02,Manuscript or printed volume 0062,17,1604,mixed,iron_gall,leather,wood,French,octavo,False,3,False,British Library,CC BY-SA 4.0 (metadata simulation),Universitätsbibliothek Heidelberg,library,Germany,Heidelberg,49.4093,8.6944,Oceanic,180000,20.07166666666667,50.95666666666667,33.245000000000005,46,False,True,6,0.0,0.825,0.46875,0.25,38.97,Moderate,0
V0063,S02,Manuscript or printed volume 0063,18,1711,industrial_paper,pigment,leather,vellum,German,scroll,False,2,True,BNF,CC BY-SA 4.0 (metadata simulation),Universitätsbibliothek Heidelberg,library,Germany,Heidelberg,49.4093,8.6944,Oceanic,180000,20.07166666666667,50.95666666666667,33.245000000000005,46,False,True,6,0.0,0.55,0.34375,0.25,27.59,Low,0
V0064,S03,Manuscript or printed volume 0064,17,1608,mixed,pigment,leather,leather,German,folio,False,2,False,British Library,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.75,0.46875,0.0,37.8,Moderate,0
V0065,S05,Manuscript or printed volume 0065,15,1434,mixed,carbon,wood_boards,vellum,German,folio,False,2,False,British Library,CC BY-SA 4.0 (metadata simulation),Bibliothèque nationale de France,library,France,Paris,48.8336,2.3758,Oceanic,40000000,19.258333333333336,48.5,36.98333333333333,49,False,False,6,0.0,0.7625000000000001,0.71875,0.0,40.84,Moderate,0
V0066,S03,Manuscript or printed volume 0066,15,1462,mixed,pigment,leather,vellum,Italian,octavo,False,2,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.75,0.71875,0.0,44.05,Moderate,0
V0067,S04,Manuscript or printed volume 0067,18,1717,industrial_paper,printing_ink,leather,leather,French,scroll,False,3,True,Europeana,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.5,0.34375,0.0,23.59,Low,0
V0068,S06,Manuscript or printed volume 0068,18,1755,industrial_paper,printing_ink,none,paper,Italian,folio,False,2,True,ICCU,CC BY-SA 4.0 (metadata simulation),British Library — St Pancras,library,United Kingdom,London,51.53,-0.1274,Oceanic,170000000,19.900000000000002,51.72833333333333,33.285000000000004,48,False,True,6,0.0,0.42500000000000004,0.34375,0.25,23.84,Low,0
V0069,S05,Manuscript or printed volume 0069,19,1829,industrial_paper,printing_ink,wood_boards,leather,Latin,folio,False,1,True,British Library,CC BY-SA 4.0 (metadata simulation),Bibliothèque nationale de France,library,France,Paris,48.8336,2.3758,Oceanic,40000000,19.258333333333336,48.5,36.98333333333333,49,False,False,6,0.0,0.5375,0.21875,0.0,21.59,Low,0
V0070,S04,Manuscript or printed volume 0070,15,1445,parchment,iron_gall,leather,paper,Italian,scroll,True,2,False,Heidelberg UB,CC BY-SA 4.0 (metadata simulation),Archivio di Stato di Firenze,archive,Italy,Florence,43.7696,11.2558,Mediterranean,1200000,20.903333333333332,53.11333333333334,41.931666666666665,50,False,False,6,0.0,0.8999999999999999,0.71875,0.15,46.47,Moderate,0
V0071,S03,Manuscript or printed volume 0071,12,1102,parchment,pigment,wood_boards,vellum,French,quarto,False,2,False,ICCU,CC BY-SA 4.0 (metadata simulation),Biblioteca comunale dell'Archiginnasio,library,Italy,Bologna,44.4929,11.343,Humid subtropical,850000,21.481666666666666,58.64666666666667,36.58833333333333,55,False,False,6,0.1022444444444445,0.8625,1.0,0.0,54.45,Moderate,0
